node1_uniprot_id,node2_uniprot_id
Q01726,P04637
Q01726,Q9UMX9
Q01726,O14746
Q01726,P01111
Q01726,Q16655
Q01726,O75030
Q01726,Q13126
O75030,P14679
O75030,P04637
O75030,Q9UMX9
O75030,O14746
O75030,P01111
O75030,Q16655
Q16655,P14679
Q16655,Q9UMX9
P40692,P08922
P40692,P06401
P40692,O14746
P40692,P01111
P40692,P04637
P40692,P43246
P43246,O14746
P43246,P01111
P43246,P04637
Q13126,P14679
Q13126,P04637
Q13126,Q9UMX9
Q13126,O14746
P01111,P14679
P01111,P04637
P01111,O14746
P01111,Q13635
P01111,P08922
P01111,P04049
Q86Y26,P08247
P06401,P08247
P06401,P04637
P06401,P12273
P06401,O14746
P12273,P08247
P12273,P04637
Q13635,Q99835
Q13635,P04637
Q13635,Q15465
Q13635,O14746
Q13635,Q9UMX1
P35408,P04637
P04049,P04637
P08922,P04637
P08922,O14746
Q15465,Q99835
Q15465,P14679
Q15465,P04637
Q15465,O14746
Q15465,Q9UMX1
Q9UMX9,P14679
Q99835,P04637
Q99835,Q9UMX1
Q9UMX1,P04637
P08247,P04637
O14746,P14679
Q9NYK1,Q9NR97
P04637,P14679
Q6ZQX7,Q12824
P42771,Q12824
P10721,Q12824
P35900,Q12824
P08729,Q12824
P01111,Q12824
P46100,P11802
P46100,Q00987
P46100,P04637
P46100,P48735
P46100,Q12824
P46100,P35240
P46100,
P46100,O75874
P41182,P28908
P41182,P04637
P41182,P28906
P28906,P11802
P28906,Q00987
P28906,P28908
P28906,P04637
P28906,Q01844
P28906,P48735
P28906,Q92570
P28906,Q12824
P28906,O75874
P28906,Q8TCZ2
P28906,P14209
P14209,P28908
P14209,P04637
P14209,Q12824
P14209,Q92804
P14209,Q92570
P14209,Q01844
P14209,Q8TCZ2
Q8TCZ2,P28908
Q8TCZ2,P04637
Q8TCZ2,Q12824
Q8TCZ2,Q01844
P11802,Q15596
P11802,Q01844
P11802,
P11802,P48735
P11802,P35240
P11802,O75874
P11802,Q12824
P11802,Q00987
P11802,P04637
Q01844,Q00987
Q01844,P04637
Q01844,Q12824
Q01844,Q92804
Q01844,Q92570
,P04637
,Q8WVC0
,P48735
,Q12824
,O75874
Q9Y5J3,Q00987
Q9Y5J3,P04637
Q9Y5J3,Q15596
O75874,Q00987
O75874,P04637
O75874,P48735
O75874,Q12824
P48735,Q00987
P48735,P04637
P48735,Q12824
Q00987,P35240
Q00987,P04637
Q15596,P04637
P35240,P04637
P35240,Q6Q0C0
P35240,Q12824
Q92570,P04637
Q92570,Q92804
P57723,P04637
Q12824,P04637
Q12824,Q6Q0C0
Q92804,P04637
P28908,P04637
P04637,Q6Q0C0
P15056,O75874
P15056,Q9HCM3
O75874,P08247
O75874,Q9HCM3
Q92886,Q15465
Q9Y5Y9,Q8N5G0
P31749,P13647
P31749,P10721
P00533,P13647
P00533,P10721
P10721,P01106
P13647,P01106
P10243,P04637
P10243,P01106
C9JLR9,Q86X51
C9JLR9,Q04206
C9JLR9,Q13495
C9JLR9,Q9BPY3
C9JLR9,P46937
P14209,P08247
P14209,P09104
Q9UPY3,Q9H9Z2
Q86X51,Q9BPY3
Q9BPY3,Q04206
Q9BPY3,Q13495
Q9BPY3,P46937
Q13495,P46937
Q15784,Q15465
P35240,P17252
P35240,P46937
P17252,Q04206
Q04206,P46937
Q15465,Q12824
Q15465,P46937
Q12824,P08247
Q86YL7,P04637
P31749,P01730
P31749,P01732
P31749,Q01844
P01730,P14209
P01730,O15353
P01730,P06127
P01730,P01732
P06127,P10721
P06127,P14209
P06127,A0A075B6P5
P06127,P01732
P01732,O15353
P01732,P10721
P01732,P14209
P14209,P10721
P14209,Q15742
Q01844,P10721
O00170,P01236
O00170,P61278
O00170,P35346
P01189,P61278
P01189,P35346
P01189,P01236
P01236,P61278
P01236,P35346
P61278,P35346
Q92560,P29992
Q92560,P50148
Q92560,P47813
Q92560,P15056
P15056,P50148
P15056,P47813
P47813,P29992
P47813,P50148
P29992,P50148
Q9BZE9,O75030
Q9BZE9,P19532
Q05682,P28906
Q05682,P19532
Q05682,P16284
Q05682,Q8TCZ2
Q05682,P14209
Q9Y6Y1,P16284
Q9Y6Y1,P19532
P28906,P08151
P28906,Q15742
P28906,P42226
P28906,P16284
P14209,P42226
P14209,P16284
Q8TCZ2,Q15742
Q8TCZ2,P42226
Q8TCZ2,P16284
P08151,P16284
O75030,P19532
Q15742,P42226
P16284,P42226
P19532,P49815
Q5XXA6,P10721
Q5XXA6,P28906
Q5XXA6,Q01844
Q5XXA6,Q05682
Q9BZE9,Q92733
Q9BZE9,Q01844
Q05682,P15173
Q05682,P15172
P28906,P15173
P28906,P15172
P28906,P10721
P28906,P23760
P28906,P23759
Q01844,P15173
Q01844,P15172
Q01844,P19532
Q01844,Q9UGR2
Q01844,P23759
Q01844,Q12778
Q01844,P23760
Q12778,P15173
Q12778,P15172
Q12778,P19532
Q12778,H3BT10
Q12778,P23759
Q12778,P23760
P10721,P15173
P10721,P15172
P10721,P19532
P10721,P23760
P15172,P15173
P15172,H3BT10
P15172,Q8N8G2
P15172,P23759
P15172,P23760
P15173,H3BT10
P15173,Q8N8G2
P15173,P23759
P15173,P23760
P23760,Q8N8G2
P23760,H3BT10
P23760,P23759
P23759,H3BT10
Q92733,P19532
Q12800,Q8N8G2
P60709,P24385
P60709,P25685
P60709,P40763
P60709,P02768
P60709,P42574
P60709,P42224
P60709,P24298
P60709,P02771
P60709,P04406
P60709,P10415
P60709,P31749
P60709,P01106
P60709,P35222
P02771,P24385
P02771,P40763
P02771,P02768
P02771,P42574
P02771,P51654
P02771,P24298
P02771,P10415
P02771,P04406
P31749,P24385
P31749,P25685
P31749,P40763
P31749,P02768
P31749,P42574
P31749,P42224
P31749,P24298
P31749,P04406
P31749,P10415
P02768,P24385
P02768,P12830
P02768,P40763
P02768,P04637
P02768,P51654
P02768,P42224
P02768,P35222
P02768,P10415
P02768,P01106
P02768,P42574
P02768,P04406
P02768,P24298
P10415,P24385
P10415,P25685
P10415,P12830
P10415,P40763
P10415,P04637
P10415,P42574
P10415,P42224
P10415,P24298
P10415,P04406
P10415,P35222
P10415,P01106
P42574,P24385
P42574,P12830
P42574,P40763
P42574,P04637
P42574,P24298
P42574,P42224
P42574,P01106
P42574,P04406
P42574,P35222
P24385,P42224
P24385,P04406
P24385,P12830
P24385,P04637
P24385,P01106
P24385,P35222
P24385,P40763
P12830,P42224
P12830,P40763
P12830,P04406
P35222,P40763
P35222,P42224
P35222,P51654
P35222,P24298
P35222,P04406
P25685,P04406
P25685,P04637
P04406,P40763
P04406,P04637
P04406,P42224
P04406,P24298
P04406,P01106
P51654,P04637
P24298,P40763
P24298,P04637
P01106,P40763
P01106,P42224
P42224,P40763
P42224,P04637
P40763,P04637
P31749,P01137
P31749,P40692
P31749,P25054
P31749,O15105
P31749,Q86TM3
P31749,P51587
P31749,P38936
P31749,P08473
P31749,P15056
P31749,Q9NQB0
P25054,P40692
P25054,P01116
P25054,P00533
P25054,P15056
P25054,Q99626
P25054,P04637
P25054,P01106
P25054,Q9NQB0
P25054,P12830
P25054,P35222
P10415,P01730
P10415,P01137
P10415,P06731
P10415,P01116
P10415,O15105
P10415,P04626
P10415,P00533
P10415,O14746
P10415,Q86TM3
P10415,P51587
P10415,Q9NQB0
P10415,P15056
P10415,P08473
P10415,P38936
P10415,P01732
P15056,P01730
P15056,P01137
P15056,P06731
P15056,P01116
P15056,P00533
P15056,P51587
P15056,Q99626
P15056,P04406
P15056,P38936
P15056,P01732
P15056,P01106
P15056,P35222
P51587,P40692
P51587,P01116
P51587,P12830
P51587,P04637
P51587,P04626
P51587,P00533
P51587,O14746
P51587,P04406
P51587,P35222
P51587,P38936
P51587,P01106
Q8TC20,P04626
P01730,P38936
P01730,O14746
P01730,P35900
P01730,P12830
P01730,P01116
P01730,P06731
P01730,P00533
P01730,P01106
P01730,Q86TM3
P01730,P04626
P01730,P35222
P01730,P04637
P01730,P04406
P01730,P08473
P01730,P01137
P01732,P01137
P01732,P06731
P01732,P40692
P01732,P01116
P01732,P12830
P01732,P04637
P01732,P04626
P01732,P00533
P01732,O14746
P01732,Q86TM3
P01732,P04406
P01732,P08473
P01732,P35222
P01732,P01106
P12830,P01137
P12830,P08473
P12830,P38936
P12830,O15105
P38936,P01137
P38936,P01116
P38936,O15105
P38936,P04637
P38936,P04626
P38936,P00533
P38936,O14746
P38936,P04406
P38936,P35222
P38936,P01106
Q99626,P35900
Q99626,P40692
Q99626,P04406
Q99626,P08473
P06731,P35900
P06731,P40692
P06731,P08473
P35222,P35900
P35222,Q9UK85
P35222,P01137
P35222,P40692
P35222,O15105
P35222,Q86TM3
P35222,P08473
P35222,Q9NQB0
Q86TM3,P01116
Q86TM3,P04637
Q86TM3,P04626
Q86TM3,P00533
Q86TM3,P04406
P00533,P35900
P00533,P01137
P00533,P40692
P00533,O15105
P00533,P04406
P04626,P01137
P04626,P08473
P04626,P04406
P04406,P01137
P04406,P01116
P04406,O15105
P04406,O14746
P04406,P08473
P01116,P35900
P01116,P01137
P01116,P40692
P01116,Q9NQB0
P35900,P08473
P40692,P01106
P08473,P04637
P08473,P01106
P01106,P01137
P01106,O15105
P01106,Q9NQB0
O15105,P01137
O15105,Q9NQB0
O15105,P04637
